fid	X2000	Y2000	v_m	ALD_m	Exx	Eyy	Yxy
3775	5567635,6	5717929,2	-54,2	77,1	0,11547	-0,01704	0,31743
3776	5567082,6	5716798,8	0,3	8,6	0,00214	-0,03487	-0,02547
3797	5567329,9	5717099,1	-9,1	-0,7	0,10071	0,05973	0,08495
3802	5568299,3	5717217,8	-57,4	-33,1	-0,00638	0,21784	-0,13553
3803	5569026,2	5716824,6	18,1	-13,6	0,09987	0,08941	-0,02363
3805	5568901,8	5718034,1	-6,1	-80,1	0,16774	-0,07569	0,03773
3812	5568872,8	5718012,3	-31,5	-69	0,15837	-0,08662	0,00884
3818	5568471,7	5717594,1	-128,6	-133,5	0,12377	0,0022	-0,0958
3821	5567312,8	5717562,6	-1	23,1	0,02506	-0,05981	0,0734
3854	5568711,6	5718447,1	-27,5	-49,5	0,11333	0,11215	0,10651
3855	5568371,9	5717157,2	-21	-59,6	0,03993	0,18645	-0,09057
3872	5568464,5	5717430,1	-87	-91,5	0,06169	-0,09743	-0,19265
3910	5569075,1	5717159,8	26,3	36,5	0,07321	-0,07697	-0,01434
3912	5567445	5718234,8	-17,2	25,4	0,07193	-0,05107	0,00127
3916	5567633,6	5717250,7	-37,4	16,5	-0,02784	0,01962	0,08898
3923	5567048,5	5717848,2	0,3	18,8	0,02078	-0,04622	-0,06516
3936	5569040,8	5717543,9	-2,4	-35,7	0,05206	-0,02388	0,01024
3938	5568459,7	5718106,2	-122,4	-130,1	0,20141	-0,19665	0,15933
3942	5567511,8	5716950,7	-10,4	19,1	0,05855	0,03235	0,19141
3953	5567863,9	5716693,5	-20,8	6,5	-0,03018	0,03666	0,02755
3961	5567938,8	5716741,6	-33,3	-23,2	-0,07106	0,03263	-0,066
3970	5568030	5718315,9	-124,1	0,7	-0,39017	0,06078	-0,105
3971	5569201,9	5717765,5	-28	-68,7	0,02139	-0,005	0,01136
3987	5567267,9	5717668,8	17,2	22	0,01647	0,00319	0,0256
4014	5568486,1	5718283,4	-118,6	-106,9	0,13933	-0,10875	0,15384
4017	5568831,2	5716847	-4,6	-22	0,02361	-0,02646	-0,01686
4040	5568754,4	5716862,8	0,1	-20,5	0,002	-0,03145	0,0019
4050	5569228	5717778,8	8,6	-40,9	0,01024	-0,01118	0,01082
4051	5567113,6	5717151,2	10,7	1,9	0,00447	0,03701	-0,03577
4056	5568998,3	5717657,5	-17	-58,9	0,06355	0,00227	-0,01271
4075	5567123,5	5718860,9	10,9	9,9	0,01287	0,01682	-0,01499
4083	5567629,3	5718322,4	-14,4	55,5	0,00581	0,05565	-0,08683
4086	5568122,5	5716694,4	-20,8	-10,9	-0,03121	0,03343	-0,0486
4115	5569048	5717648,4	-22,9	-33,3	0,05283	-0,01959	0,03229
4127	5568344,8	5716740,3	-8	-16	0,01525	0,08988	0,0522
4166	5569141,4	5717961,6	7	-32,3	0,03002	0,04291	0,01372
4168	5567485,5	5718148,8	-16,8	19,7	0,12385	-0,11155	0,0587
4173	5568211,7	5718442,7	-98	-42,1	-0,16064	0,18252	0,10484
4177	5568971	5718052	0,8	-33,9	0,1279	-0,0474	0,07316
4179	5567949,5	5717818,4	-283	39,4	-0,58258	-0,60306	-0,33261
4191	5568727,9	5716865,2	-27,8	-32,7	-0,001	-0,02653	0,00729
4199	5568380,7	5716845,8	-11,7	-13,5	0,0077	0,01724	-0,03366
4229	5567633,7	5718066,3	-25,1	65,2	0,08045	-0,2036	0,06671
4246	5568478,6	5718633,9	-13	6,8	0,06202	0,17466	0,09946
4251	5568928,2	5716713,8	5,3	-7,8	0,03635	0,05378	-0,12411
4262	5567555,6	5717282,5	-19,6	26,1	0,00902	-0,00277	0,06965
4281	5568149,2	5717233,6	-91,7	-66,2	-0,12075	0,36626	-0,10685
4289	5567300,3	5717907,3	9,8	28,4	0,06872	-0,01403	-0,00633
4295	5569063	5717074,9	2,2	-7,7	0,09892	-0,06926	-0,00315
4311	5568280,1	5717261,7	-83,5	-55,3	-0,03636	0,27791	-0,17303
4324	5567329	5717721,4	-13,6	37,3	0,02985	0,00563	-0,01582
4358	5567642,7	5717752,3	-43,9	80,1	0,17506	-0,01478	0,52806
4364	5567548,9	5718882	10,8	4,7	-0,021	0,03106	-0,00453
4385	5568376,8	5718822,6	-30,8	-17,7	0,00341	0,03698	0,08762
4392	5568089,7	5717804,6	-333,5	-65,1	-0,54203	-0,60935	-0,37654
4400	5567510,7	5716928	-4,5	26	0,05921	0,0328	0,18468
4414	5568217,4	5717343,4	-102,6	-53,1	-0,10235	0,26647	-0,25282
4440	5568912,3	5717657,8	-2	-28	0,11001	0,00891	-0,06956
4451	5568356,2	5717560,3	-166,8	-125,3	-0,00027	-0,12174	-0,29475
4460	5568708	5717079	-19,3	-9,8	0,00297	0,10959	0,00082
4464	5568135,4	5718514,6	-77,7	-2,7	-0,1702	0,23006	-0,01007
4472	5567619,1	5717761,1	-30,2	64,5	0,17946	0,04224	0,49532
4477	5567332,6	5718777,2	3,3	14,1	0,01815	-0,00782	-0,0582
4482	5567553,7	5718449,8	5,2	26,9	0,0283	0,11908	-0,04561
4483	5568047,4	5718620	-43,8	1,1	-0,14509	0,17776	-0,08275
4485	5567438,8	5717981,5	-11,5	40	0,15908	-0,01607	0,15552
4488	5568225,6	5717223,6	-75,1	-73,7	-0,0637	0,28653	-0,14451
4502	5568143,3	5717309,9	-84,1	-34,1	-0,16445	0,37891	-0,17866
4509	5567447,3	5718424,4	-4	21,5	0,0659	0,07267	-0,01333
4511	5568615,5	5718801	-24,6	-1,8	0,00408	-0,02564	0,05895
4529	5567064,9	5717654	-11,6	-0,5	0,01643	0,04365	-0,02209
4544	5569175,8	5716759,4	30,5	25,4	0,03414	0,19838	0,01558
4548	5567371,8	5717426,3	-10,1	-0,1	0,03876	-0,0546	0,0991
4550	5567933,3	5717665,6	-242	25,5	-0,4609	-0,40143	-0,01878
4558	5567049,3	5717495	6,4	9,7	0,02516	0,01092	0,01052
4566	5568818,2	5717312,1	-7,6	-40,7	0,06955	-0,00053	-0,09371
4570	5568676,3	5717329,9	-29,8	-66,1	0,04287	-0,04091	-0,05242
4577	5567466,6	5717574,7	-41,1	44,6	0,05079	-0,17777	0,01866
4594	5569248,1	5717548,2	-2,9	-35,4	-0,00253	0,04449	0,00124
4598	5568612,3	5716756	-13,4	-10,5	-0,00481	-0,03195	-0,02193
4609	5568657,1	5716854	-7,7	-24,2	-0,00286	-0,04811	-0,01392
4610	5567986,1	5717168	-63,6	-15,1	-0,10431	0,29848	0,05146
4611	5568471,1	5718809,1	-35,2	-26,4	0,00666	-0,01271	0,03731
4613	5567516,9	5717564,7	-45,8	34,2	0,09028	-0,16164	0,09863
4640	5568311,5	5717251,7	-61,7	-46,3	0,00061	0,22796	-0,15057
4650	5567766,8	5717325,3	-63,4	22	-0,03437	0,09662	0,32291
4681	5568361,8	5718654,8	-29,1	0,2	0,01515	0,15746	0,16624
4683	5567697,7	5718066,9	-61,8	73,5	-0,0547	-0,24227	0,00876
4691	5567494,6	5717944,7	-13,6	40,7	0,20597	0,0888	0,1781
4733	5568351,2	5718636,4	-20,3	15,4	0,01433	0,17354	0,17296
4739	5567186	5718008,7	-3,9	5,7	0,06174	-0,01435	-0,04323
4745	5567485,8	5717400,5	-24,2	5,1	0,02401	-0,04841	0,02953
4747	5568549,6	5718441,3	-56,2	-48,7	0,06924	0,09695	0,12165
4753	5567749	5718038,1	-105,9	78,7	-0,17057	-0,30508	-0,08575
4764	5567379,6	5718607	11,1	16,9	0,0479	0,03324	-0,00709
4772	5567395,6	5717086,6	-8,4	10,3	0,08721	0,06302	0,1481
4785	5567570,8	5718359,8	-12,7	33,4	0,04999	0,06395	-0,04886
4800	5568720,5	5716665,8	-7,4	-21,1	0,01042	-0,03817	-0,0102
4801	5567379,7	5716715,3	-3,1	-3,1	0,00407	-0,00926	-0,06683
4802	5569145,9	5717138,2	-4,2	10,4	0,03192	-0,11397	0,02355
4829	5568387,1	5718091,5	-193,3	-218,9	0,10801	-0,20587	0,24952
4841	5567456	5718431,1	10,5	17,2	0,05424	0,07639	-0,0089
4847	5567541,2	5717434,1	-37,1	22,3	0,04026	-0,0563	0,07547
4880	5568102,6	5716786	-7,9	-6,6	-0,02258	0,04648	-0,03305
4883	5567355	5717952,2	7,2	21,9	0,09535	0,02923	0,04855
4884	5568790,5	5717443,9	-33,3	-57,8	0,08118	-0,05958	-0,04039
4895	5567489,9	5716789,1	-3,8	8,3	0,03797	0,03826	0,01087
4901	5567523,1	5718431,1	2,6	24,7	0,03364	0,12799	-0,02616
4910	5568434,5	5718330,8	-125,5	-110,2	0,09959	-0,06547	0,19691
4912	5567605,1	5716727	-9,2	13,3	0,02883	0,1137	0,10478
4918	5568619,2	5717068,1	-1,9	4,2	0,01722	0,12506	-0,01007
4927	5568671,8	5718708,9	-16,1	6,3	0,03714	0,03084	0,10689
4931	5568572,2	5718464,7	-55,2	-43,6	0,08433	0,12547	0,11218
4936	5567136,8	5717854,6	-0,7	-2,1	0,03163	-0,03918	-0,07188
4939	5567541,4	5717970,8	-15,7	51,7	0,23349	0,00999	0,25559
4952	5568398,1	5717556,6	-160,7	-137,6	0,03852	-0,07816	-0,24362
4953	5567896,1	5717834	-224,1	49,4	-0,51785	-0,54491	-0,20658
4974	5567879,9	5717972,2	-207,1	80	-0,48858	-0,41236	-0,27067
4989	5568311,6	5718763,2	-29	-9,5	0,02284	0,07716	0,16368
5001	5568185,5	5718200,8	-230	-57,1	-0,34672	-0,21199	0,13736
5075	5568349,8	5716699,2	-10,9	-40,1	0,01339	0,1007	0,0439
5092	5567521,7	5717954,2	-13,3	41,9	0,23462	0,06335	0,23505
5130	5567050,9	5717463	11,6	5,9	0,02448	0,01311	0,0109
5134	5567800	5717757,4	-161,8	78,5	-0,1905	-0,22067	0,34618
5144	5568987,8	5716864,7	-24,8	-31,9	0,1153	0,04355	-0,0189
5145	5567325,3	5718430,6	0,2	9,9	0,07424	0,00819	0,02481
5158	5567088,1	5718192,9	10,4	-2,2	0,0051	0,02369	-0,06024
5210	5567928,5	5717709,9	-246,4	35,7	-0,50718	-0,47296	-0,10407
5230	5567371,9	5717725,3	1,1	25,7	0,02255	0,00584	-0,03873
5236	5568863,8	5717353	-1,1	-33	0,08342	-0,01032	-0,10891
5259	5567897,6	5717285,4	-87,1	-6,3	-0,09504	0,24107	0,24407
5278	5567261,6	5717079,1	-4,6	11,2	0,04647	0,0241	0,01809
5281	5567597,4	5717270,2	-29,4	24,6	-0,00532	0,01428	0,07172
5289	5568838,8	5717941,8	-65,1	-87,5	0,14268	-0,07754	-0,04728
5297	5568277,4	5717804,3	-200,7	-175,4	-0,03952	-0,29339	-0,05729
5308	5569216,4	5718829,4	-51,2	10,7	-0,05285	0,09793	0,08732
5344	5567398,7	5717242	1,2	25,4	0,06731	0,13238	0,13625
5347	5567675	5716746,1	-1,1	14,6	-0,00129	0,13135	0,15836
5378	5568858,5	5718541,8	-38,8	-48,5	0,0831	0,11502	0,09843
5380	5568613,3	5716810,1	-32,2	-18,5	-0,00478	-0,04432	-0,0341
5384	5567891,6	5718007,5	-204,3	96,6	-0,5328	-0,36152	-0,29971
5392	5569272	5717053,6	-18,7	8,1	-0,01879	-0,10089	0,03266
5394	5568929,4	5718699	-37,8	-5,9	0,03327	0,05411	0,01925
5400	5567237,1	5717838,4	-1,8	15,6	0,05209	-0,01268	-0,03065
5410	5568587,9	5716784,1	6,4	14,8	-0,01043	-0,03433	-0,03122
5423	5568939	5717856,4	7,4	-36,9	0,13366	0,01836	-0,03658
5436	5568536,3	5718784,1	-27	-18,5	-0,01611	0,01057	0,04769
5438	5567681,1	5718077,1	-52,8	78,8	-0,01355	-0,23727	-0,00025
5445	5568008,7	5717530,8	-219,2	-28,1	-0,36118	-0,06515	-0,11018
5449	5568291,2	5717050	-21,8	-23,2	-0,01361	0,08944	-0,08548
5455	5567493,2	5717266	-19	28	0,0188	0,04717	0,09232
5460	5567048,7	5718713,8	10,7	1,4	0,01142	0,1005	0,00646
5464	5568978,9	5717668,2	-18,3	-58	0,08277	0,01558	-0,03765
5471	5568563,3	5717622,9	-37,4	-67,3	0,16924	0,05181	0,04482
5472	5568245,7	5717819	-294,8	-47,6	-0,12245	-0,32774	-0,06713
5500	5568356,5	5718385,6	-85,4	-73,2	-0,00291	0,05324	0,214
5512	5568770,7	5717794,9	-43,2	-76,9	0,11354	-0,01664	-0,10237
5514	5567642,9	5718024,6	-45	82,3	0,08324	-0,20151	0,0843
5517	5568885,1	5717328,2	-12,6	-44,4	0,07277	0,00395	-0,10786
5550	5567505,4	5718549,3	-10,7	25,9	0,0197	0,024	-0,05129
5591	5568435,8	5717139	-30,4	-30,6	0,02651	0,15398	-0,0738
5610	5567072,4	5717868,2	-1,9	6,8	0,01904	-0,04974	-0,07068
5613	5567454,6	5717091	-10	16,5	0,06841	0,05427	0,19216
5623	5568390,5	5717558,8	-160,1	-147,3	0,03322	-0,08126	-0,25206
5627	5568781,4	5716875	-15,7	-38,7	0,00891	-0,02263	-0,0025
5634	5568406,5	5717487,9	-143,9	-122,2	0,02441	-0,05644	-0,25286
5635	5568507,7	5718115,6	-133,3	-181,6	0,22387	-0,17214	0,08831
5644	5567558,6	5718239,3	-15,3	34,6	0,10984	-0,08443	-0,04412
5692	5568794,8	5717678,9	-21,7	-61,1	0,08777	0,0522	-0,09205
5711	5568810	5717252,5	-6,6	-26,1	0,05708	0,02151	-0,08279
5712	5567516,4	5716787,7	-5,1	10,6	0,02582	0,06092	0,05648
5713	5567116,4	5716813,4	0,3	7,4	0,00537	-0,04052	-0,0197
5717	5567727,1	5718400,9	-18,6	26,4	-0,11627	0,11497	-0,12387
5726	5567627	5717032	-13,4	34,2	-0,02484	0,01143	0,1387
5730	5567990,8	5717847,6	-307,9	12,6	-0,64172	-0,63157	-0,37312
5755	5567748,3	5718418,8	-13,2	51,3	-0,13962	0,11984	-0,13254
5773	5567383,1	5718461,3	7,5	34,1	0,07449	0,02934	0,00389
5784	5568561,1	5718284	-49,3	-83,3	0,15779	-0,09203	0,0913
5795	5567301,6	5718283,6	-14,2	14,4	0,09623	-0,01459	-0,01293
5838	5568769,9	5718781,1	-47,5	-20,9	0,02632	-0,07287	0,08863
5855	5567507,3	5718810,8	25,7	34	0,0139	0,00631	-0,06063
5857	5567642,7	5717282	-32,2	16,1	-0,00922	0,01958	0,13904
5859	5567738,8	5717677,4	-84,1	54,5	0,03443	-0,10822	0,60781
5862	5567662	5718392,2	7,6	62,6	-0,0424	0,10232	-0,09223
5870	5568084,7	5717255,5	-78,3	-28,5	-0,15347	0,40016	-0,04588
5891	5568958,2	5717532,8	-11,9	-40,9	0,10829	-0,02935	-0,02618
5935	5567142,1	5718151,4	1,7	4,7	0,04275	0,04142	-0,06783
5967	5567349,5	5717574,8	5,1	19,8	0,01274	-0,09812	0,04488
5974	5567100,1	5718693,9	14,6	5,9	0,04291	0,08228	0,00537
5976	5567436,7	5717113,7	5,7	30,1	0,06955	0,06124	0,18387
5979	5568214,4	5718207,1	-194,9	-96	-0,30599	-0,20732	0,15275
6020	5567480,1	5717927,1	9,4	63,2	0,18916	0,12285	0,16923
6055	5567042	5717311,8	12,1	8,4	0,01227	0,06513	0,00351
6067	5567180	5718176,7	7,2	18	0,04894	0,03521	-0,06266
6074	5567576,4	5718145,7	-25,7	40,8	0,13301	-0,1644	0,00457
6075	5567049,7	5716969,6	4,2	-2,4	-0,02556	-0,06395	-0,04719
6077	5567448	5717248,4	-4,7	18,3	0,04897	0,09668	0,11308
6084	5568800,5	5717311,2	-22,3	-50,6	0,06235	-0,00161	-0,08899
6085	5568555,8	5717971,1	-95,2	-132,6	0,21649	-0,16442	0,09984
6100	5569139,5	5717479,4	-11,1	-6,5	0,02731	0,06077	0,00188
6113	5567489,6	5716925,6	-10,9	9,1	0,07415	0,0199	0,15992
6117	5569108,3	5718720,1	-54,1	-13,9	-0,02165	0,03456	-0,0154
6118	5567288,1	5717494,8	9,4	18,9	0,03495	-0,04592	0,10294
6136	5568347,8	5717250,9	-61,1	-53,5	0,03006	0,18756	-0,12121
6149	5567146,4	5717685,4	17,6	28,6	0,0454	0,02907	-0,03318
6171	5568466,1	5717244,5	-25,7	-41	0,04716	0,11649	-0,06809
6186	5567444,9	5717939,2	0,9	34,4	0,15852	0,11699	0,15728
6193	5569175,9	5717347,9	-2,3	8,3	-0,00664	0,05436	-0,00335
6211	5568536,1	5718651,4	-16	-15,1	0,03321	0,13376	0,08221
6224	5568957,3	5717160,3	8,2	-38,1	0,06226	0,01165	-0,05767
6240	5567411,6	5717709,3	-8,3	34,4	0,02826	-0,0116	-0,04875
6271	5568501,2	5718407,5	-33,4	-37,7	0,08964	0,06144	0,14589
6273	5569238,6	5717244,8	-4,4	-1,6	-0,04153	-0,07515	0,0172
6274	5567583,2	5716894,1	-7,6	26,1	0,01789	0,09594	0,19838
6291	5567135,2	5716990,9	-3,7	-5,5	-0,00017	-0,05718	-0,05308
6320	5568846,5	5716863,6	-30,7	-40,9	0,03222	-0,01667	-0,01344
6323	5567581	5717550,1	-50,5	47,6	0,16	-0,11922	0,26747
6326	5567827,6	5717840,7	-182	73,1	-0,35292	-0,42069	-0,02166
6327	5569155,2	5717020,6	6,5	25,5	0,04355	-0,06889	0,05357
6328	5567936,4	5717569,7	-212,2	-6	-0,3286	-0,12427	0,10985
6329	5567937,7	5717201,3	-70,7	-5,7	-0,08075	0,28019	0,12514
6331	5567128,3	5718366,2	-5,2	23,3	0,0451	-0,07966	-0,04792
6346	5567867,4	5717693,3	-193,5	42,6	-0,33765	-0,34782	0,14987
6352	5568623,3	5717580,8	-68,7	-104,5	0,16123	0,09695	0,02764
6362	5568115,1	5718348,8	-151,3	-29	-0,34511	0,07348	-0,01614
6368	5567799,8	5716671,4	-17,2	0,2	0,00611	0,02853	0,10702
6374	5567253,1	5717411,6	5,8	-5,2	0,05178	-0,00197	0,10952
6382	5567864,4	5717989,8	-180,4	88,9	-0,44366	-0,37077	-0,2901
6386	5568709,7	5717601,3	-57,5	-87,2	0,1144	0,05732	-0,03322
6388	5567977,3	5718147,5	-221,1	38,6	-0,55732	-0,21122	-0,22381
6391	5568992,4	5717386,6	-21,7	-75,9	0,07842	0,03724	-0,04964
6406	5568518,6	5716778,5	-11,9	-18,9	-0,018	0,01981	-0,04548
6414	5568869,2	5717563	-33,9	-50,2	0,09687	-0,00685	-0,04883
6425	5568066,7	5717836,5	-315	-37,6	-0,5767	-0,61108	-0,37014
6437	5567745,3	5716832,2	-14,3	17,6	-0,05566	0,09961	0,09318
6442	5568426	5717541,5	-136	-114,4	0,06113	-0,06007	-0,20083
6459	5567606,1	5717000,3	-18,4	0,7	-0,01245	0,02716	0,16268
6469	5568863	5717829	-30,8	-81,2	0,13128	0,00873	-0,09539
6486	5567947,8	5717551,8	-216,3	-8,4	-0,33658	-0,07637	0,07824
6488	5567206,6	5718161,2	9,7	3,7	0,06308	0,02579	-0,03478
6489	5567215,3	5717920,8	8,8	18,6	0,05309	-0,03647	-0,05423
6495	5567885	5717289,7	-69,4	16,4	-0,08704	0,22598	0,24862
6501	5567520,9	5718096,2	-22,1	41,6	0,17659	-0,17779	0,11625
6507	5567549	5717776,3	-26,8	44,7	0,22271	0,10557	0,32626
6537	5568050,2	5716996,3	-22,1	-17,7	-0,05785	0,07768	0,01303
6549	5568330,6	5718608,3	-54,8	-25,4	-0,01138	0,17883	0,17236
6551	5567842,2	5717148,4	-43,9	11,1	-0,08751	0,12971	0,04606
6555	5567342,1	5717722	3,9	26,1	0,02788	0,00233	-0,02359
6556	5568270,5	5718597,5	-58,5	0,4	-0,04096	0,18571	0,14546
6557	5567553,1	5717930,2	-21,1	56,9	0,21519	0,07116	0,28369
6576	5567243,5	5717610,9	10,5	12,1	0,03256	-0,01145	0,0394
6582	5567319	5717740,6	7,3	33,5	0,03204	0,01462	-0,01881
6590	5567529,9	5717588	-43,6	41,3	0,10523	-0,16185	0,14893
6598	5568780,6	5716666,8	-16,4	-14,9	-0,00186	-0,02685	-0,03964
6617	5568859,2	5718157,1	-49,2	-76	0,16582	-0,09495	0,06569
6621	5568410,6	5718306,3	-119,8	-84,7	0,09835	-0,09067	0,2079
6625	5567719,1	5718094,8	-73,6	111,8	-0,10617	-0,24689	-0,05332
6636	5568656,6	5717329,6	-16,7	-44,5	0,03753	-0,04115	-0,05412
6640	5568843,6	5717249,8	-1,4	-41,8	0,04491	0,02037	-0,08341
6644	5567876,6	5718209,6	-130,8	49,6	-0,39598	-0,1124	-0,27058
6652	5569052	5716936,4	-1,1	4,1	0,12471	0,01251	0,01544
6658	5568122,9	5717764,9	-327,5	-79,1	-0,46318	-0,5811	-0,37072
6675	5568590,2	5717422,1	-52,9	-88,6	0,06488	-0,10362	-0,06035
6679	5568657,1	5717903,9	-64,4	-97,4	0,18566	-0,10986	-0,02101
6684	5568219,6	5717117	-60,3	-54,7	-0,04419	0,19522	-0,08927
6692	5567929,5	5716997,6	-40,1	-12,3	-0,07193	0,06501	-0,03519
6694	5569227,9	5716802,6	17,9	38,4	0,0153	0,18729	0,06075
6697	5568124,5	5717190,2	-59,2	-33,5	-0,10425	0,35153	-0,0663
6698	5567136,9	5718012,6	-1,9	2,5	0,03184	-0,02468	-0,07486
6701	5568816,2	5718231,6	-39,7	-77,2	0,15677	-0,06761	0,07286
6708	5568614	5718677,7	-25,7	-3,2	0,01934	0,07898	0,09752
6712	5567451,1	5716737,4	-0,8	2,9	-0,00281	0,01336	-0,09775
6715	5567081	5717162,7	7,1	15,7	0,00226	0,04199	-0,0276
6722	5567337,8	5718450,9	7,5	7,4	0,07951	0,01265	0,02258
6723	5567263,6	5717899,4	-2,7	18	0,06987	-0,02094	-0,01662
6746	5568358,5	5716945,7	-17,3	-14,2	0,00231	0,03766	-0,06267
6747	5568574,5	5717361,6	-53,6	-68	0,04692	-0,05	-0,09977
6761	5568572,6	5716742,7	-10,9	-26,2	-0,00671	0,00037	-0,03152
6763	5567942,1	5718848,8	-51,6	-54,1	-0,15463	0,11771	-0,03579
6766	5568960,7	5718754,2	-12,9	14,5	0,04649	0,00816	-0,00756
6768	5568818,3	5718513,9	4,9	-3,1	0,08837	0,13666	0,10956
6769	5567291,4	5718440,1	6,6	1,8	0,07858	-0,00947	0,02281
6774	5567821,4	5717688,3	-174,1	58,2	-0,22284	-0,27405	0,32181
6788	5568815,5	5718100,6	-42,1	-83,7	0,18078	-0,1122	0,00969
6820	5568874,4	5718778,9	-46,1	-31,7	0,02663	-0,0542	0,05911
6829	5567693,5	5718323	-13,8	48,2	-0,06152	0,05987	-0,0996
6833	5567214,6	5718879,2	5,2	8,2	0,03035	0,00231	-0,06817
6843	5568989,8	5717819,7	4,6	-32	0,11726	0,03614	-0,02637
6846	5567183,1	5717402,8	2,1	19,6	0,03008	0,00533	0,06444
6859	5568162,7	5717637,2	-293,9	-106,6	-0,34711	-0,36585	-0,45953
6878	5568927,9	5718772,4	-38,9	3,2	0,0342	-0,03042	0,02236
6887	5567515,7	5718273,1	-1,2	42,6	0,09611	-0,03696	-0,03562
6895	5568128,4	5718352,2	-140,7	-31	-0,31348	0,04739	0,02034
6902	5567826,9	5717510,5	-111,5	36,9	-0,11995	0,05343	0,47667
6919	5568346,6	5717881	-164,6	-123,9	0,10424	-0,23312	0,18758
6920	5568032,1	5717518,8	-188,1	10,5	-0,3445	-0,04378	-0,1431
6925	5568508,7	5717433,5	-75,3	-74,9	0,07462	-0,09722	-0,14204
6947	5569264	5717292,9	-10,7	-25,3	-0,05755	-0,02172	0,01375
6963	5567265,2	5717759,6	9,5	19,4	0,0139	0,01656	-0,01103
7018	5568881,2	5717058	25,2	5,1	0,05805	0,02472	-0,01102
7032	5567647,7	5717341,9	-32,9	17,2	0,0272	0,00695	0,19267
7049	5567814	5717843,7	-173	71,6	-0,30184	-0,35673	0,08975
7054	5569011,9	5716794,5	17	-2,6	0,07904	0,09613	-0,0585
7057	5567381,1	5718436,4	8,9	13,3	0,07514	0,03306	0,01068
7058	5568245,1	5717573	-212,5	-135,3	-0,17601	-0,19009	-0,44691
7062	5567306	5717399,3	10,8	21,6	0,05209	-0,00733	0,13358
7066	5568361,3	5717196,8	-48,3	-50,2	0,03359	0,17142	-0,1002
7086	5568469,7	5717066,7	-31,5	-40,5	0,02366	0,12219	-0,06845
7087	5568064,3	5717677,1	-275,8	-50,4	-0,51171	-0,52751	-0,42754
7143	5567647,6	5718366,1	-7,4	26,1	-0,01649	0,09303	-0,09118
7147	5567904,5	5717842,8	-243,1	58,5	-0,52639	-0,55672	-0,23621
7151	5568052,5	5717157,8	-56,6	-18,2	-0,10941	0,29821	0,00513
7190	5569048,3	5717239	-10,7	-17,4	0,05441	-0,0153	-0,04402
7203	5568134,8	5718211,6	-224,7	-67,6	-0,41226	-0,19531	0,0153
7207	5568304,5	5716944,3	-9,7	-26,7	-0,0099	0,05251	-0,03544
7241	5567847,4	5717294,3	-79,5	13,6	-0,08307	0,18187	0,27179
7245	5567992,6	5718744,9	-58,7	-51,6	-0,15393	0,1349	-0,07106
7256	5569066,3	5717103,4	-11,1	-13,9	0,08784	-0,08188	-0,00435
7306	5568983,3	5718690,2	-27,8	-6,2	0,03277	0,04888	-0,01231
7312	5568119,6	5718143,2	-249,1	-56,5	-0,47244	-0,26581	-0,01702
7342	5567504,5	5717255,5	-11,8	18,5	0,01845	0,04728	0,09762
7344	5568855,4	5717646,4	-17,7	-49,5	0,09014	0,02459	-0,08583
7345	5567463,1	5716756,3	-5,1	6,7	0,01365	0,02349	-0,07099
7368	5567875,8	5717833,7	-211,3	79,9	-0,47604	-0,50218	-0,12679
7369	5567461,5	5718269,6	-6,3	31,2	0,07071	-0,03453	-0,00975
7373	5568823,2	5718783,1	-45,6	-33,5	0,0415	-0,07293	0,07446
7383	5568926,5	5718871,9	-45,4	-6,3	0,03128	-0,06598	0,04394
7405	5568904,2	5718220,7	-8,9	-35,6	0,1401	-0,06752	0,12146
7414	5567437,7	5718074,5	-13,4	22,4	0,1542	-0,09175	0,14252
7433	5567209	5718683,1	4,5	2,2	0,04892	0,06573	0,03624
7464	5568917	5716810,4	-6,5	-20	0,05156	0,01269	-0,04955
7471	5569012,5	5718693,5	-37,3	0,2	0,01453	0,04847	-0,01371
7477	5567949,5	5717318,6	-85,1	-1,6	-0,15297	0,33084	0,17603
7482	5567194,8	5717580,4	7	22,3	0,04825	0,01548	0,0157
7486	5567420,8	5717436,3	-17,1	12,7	0,0264	-0,08657	0,01762
7495	5567879,3	5717021,4	-37,7	1,3	-0,08228	0,06826	-0,04376
7502	5567578,7	5718186,3	-20,3	27	0,11043	-0,12072	-0,03122
7511	5569187,8	5717591,7	0,4	-15,6	0,01998	0,00029	0,02133
7523	5568034,2	5716829,1	-13,6	-13,4	-0,04245	0,04227	-0,05949
7524	5567328,4	5718386,3	2,1	16,4	0,0715	0,01032	0,00827
7535	5569242,9	5718808,7	-46	8,1	-0,04973	0,09013	0,07319
7577	5568215,7	5717530,8	-195,3	-103,9	-0,20732	-0,16528	-0,45826
7585	5568293,7	5716716	-5,8	-18,1	0,00092	0,09706	0,03528
7586	5567057,2	5717663	1	15,8	0,01653	0,04625	-0,02564
7600	5567902	5717698,9	-225,7	32,3	-0,43946	-0,40892	0,01789
7614	5567178,2	5717630,5	23,1	25,3	0,04696	0,02569	-0,01031
7619	5568835,1	5716978,9	-4,3	-6,2	0,05942	0,03914	-0,01242
7625	5568448,2	5716897,2	-19	-27,8	0,01235	0,00235	-0,0842
7631	5568314,5	5718090,3	-182,2	-186,5	-0,0397	-0,25148	0,23018
7637	5568377,3	5717463,8	-141	-103,5	0,00272	-0,05765	-0,29286
